Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_mqn7[fe],0.000407730495572731,1.40020254674189e-05,0.0014309910635823,4.98943644045707e-05
EX_mqn8[fe],2.00755850366452,7.02760113003055,1.31015658758276,0
EX_mso3[fe],0,0,0,0
EX_na1[fe],0,0,0,0
EX_nac[fe],123.862440588965,116.646465394465,55.2381377614871,18.111938283209
EX_ncam[fe],43.5276196641358,44.830694989737,10.0817143058997,0.0417724259400262
EX_nh4[fe],310.85316,248.414088,186.832868,63.2039268
EX_nmn[fe],0,0,0,0
EX_no2[fe],0.1,0.1,0.1,0
EX_no3[fe],0,0,0,0
EX_o2[fe],0.000925353709625,3.17779178874988e-05,0.00324766703375,0.000113236404175019
EX_ocdca[fe],149.221792141602,142.300096329073,132.190406276553,63.1688781694732
EX_ocdcea[fe],0.0143815608295057,0.000493882560121506,0.0504742354345353,0.00175988513129255
EX_orn[fe],131.95356,111.61458,33.35096,3.7869696
EX_pac[fe],12.44092,26.9008,2.32816,55.0256
EX_pb[fe],0,0,0,0
EX_pect[fe],0,0,0,0
EX_pecticgal[fe],0,0,0,0
EX_phe_L[fe],28.2041698761329,32.7718014694343,18.3816316537129,37.3590509251569
EX_pheme[fe],0.000203865247787149,7.00101273309883e-06,0.000715495531791177,2.49471822026948e-05
EX_pi[fe],0.756157848564756,0.524914389038223,0.348458174882385,0.18060482865439
EX_pnto_R[fe],0.000407730495572522,1.40020254670858e-05,0.00143099106358191,4.98943644045013e-05
EX_ppa[fe],295.14428,239.965048,180.767788,63.2039268
EX_ppi[fe],6.73522107571772,6.8508428054805,6.93907091255849,7.02299758567272
EX_pro_L[fe],122.764793432957,32.3578403884999,58.3706955498802,59.0860308403419
EX_ptrc[fe],42.78616,117.65464,21.5432,0
EX_pullulan1200[fe],0,0,0,0
EX_pydam[fe],0,0,0,0
EX_pydx[fe],0.000350645906705027,0.000164364964556185,0.00301397073874998,9.87788619550289e-05
EX_pydxn[fe],0.32047534966786,0.320853860295348,0.320816327074629,0.321035543903534
EX_q8[fe],0,0,0,0
EX_raffin[fe],0,0,0,0
EX_rhamnogalurII[fe],0,0,0,0
EX_rhamnogalurI[fe],0,0,0,0
EX_rib_D[fe],0,0,0,0
EX_ribflv[fe],0.00102105379446898,0.000343878699380629,0.00166779056002414,4.98943644045013e-05
EX_rmn[fe],0,0,0,0
EX_sT_antigen[fe],1,1,1,0.3051452
EX_sTn_antigen[fe],0,0,0,0
EX_salcn[fe],0,0,0,0
EX_ser_L[fe],304.853612516223,245.002185098417,172.348696549899,63.2039268
EX_sheme[fe],0.000203865247786358,7.00101273370946e-06,0.000715495531791149,2.49471822022784e-05
EX_so3[fe],0,0,0,0
EX_so4[fe],18.9945609492888,18.9964477871584,12.3580764876832,18.9988041313601
EX_spmd[fe],0.000203865247786358,7.00101273370946e-06,0.000715495531791149,2.49471822022784e-05
EX_strch1[fe],0,0,0,0
EX_strch2[fe],19.916,0.202669,10.14324,0.0951727
EX_stys[fe],0,0,0,0
EX_succ[fe],310.85316,248.414088,186.832868,63.2039268
EX_sucr[fe],0,0,0,0
EX_sulfac[fe],0,0,0,0
EX_taur[fe],20,20,20,20
EX_tchola[fe],0,0,0,0
EX_tdchola[fe],0,0,0,0
EX_thm[fe],0.000203865247786261,7.00101273398701e-06,0.000715495531791177,2.49471822026948e-05
EX_thr_L[fe],282.364416303277,241.440197690433,129.016010499045,61.6201729118738
EX_thymd[fe],171.600792048347,169.540851631971,88.3252016994896,59.9790948438703
EX_tma[fe],0,0,0,0
EX_tmao[fe],0,0,0,0
EX_tre[fe],0,0,0,0
EX_trp_L[fe],28.1445258994968,17.0901189610746,3.65956490651677,26.3502338484443
EX_tsul[fe],0,0,0,0
EX_ttdca[fe],55.8797904867435,50.8872910681435,25.888976793136,21.1879353885299
EX_tyr_L[fe],1.53025948968573,0.832871255058075,0.629180382548798,0.000972267381937897
EX_ura[fe],0,0,0,0
EX_urea[fe],187.540218021519,129.847162097009,36.7760641415931,57.9835565208973
EX_uri[fe],176.444543005975,171.970711773819,100.624116834279,60.7138940971123
EX_val_L[fe],268.478952006767,238.733998274035,52.2214285674794,59.6092549582658
EX_xan[fe],0,0,0,0
EX_xyl_D[fe],0,0,0,0
EX_xylan[fe],0,0,0,0
EX_xyluglc[fe],0,0,0,0
EX_zn2[fe],0.00543905071120293,0.00355221284156518,0.00237592745442092,0.00119586863985394
