,SRS011061,SRS012902,SRS011134,SRS054956
EX_ncam[fe],0.1164220803998536,0.1164220803998536,0.1164220803998536,0.0755456
EX_nh4[fe],0.0,0.0,0.0,0.0
EX_nmn[fe],0.0,0.0,0.0,0.0
EX_no2[fe],0.0,0.0,0.0,0.0
EX_no3[fe],0.0,0.0,0.0,0.0
EX_o2[fe],0.0,0.0,0.0,0.0
EX_ocdca[fe],26.952276911740206,27.426835802374285,27.779281989088204,1.3823423311573784
EX_ocdcea[fe],3.292195449999994,0.11305849999999396,11.554434999999998,0.40286879999999314
EX_orn[fe],0.0,0.0,0.0,0.0
EX_pac[fe],0.0,0.0,0.0,0.0
EX_pb[fe],0.0,0.0,0.0,0.0
EX_pect[fe],0.0,0.0,0.0,0.0
EX_pecticgal[fe],0.0,0.0,0.0,0.0
EX_phe_L[fe],12.458165181847722,16.57198931406488,2.3666076014109585,16.57198931406488
EX_pheme[fe],0.00020386527565207814,7.001012733709498e-06,0.0007154946029340449,2.4947169817521593e-05
EX_pi[fe],11.381287423434001,11.381287423434001,11.381287423434001,11.381287423434001
EX_pnto_R[fe],0.00040777132843761166,1.4003425810000386e-05,0.0014311323191000466,4.989932956789289e-05
EX_ppa[fe],0.0,0.0,0.0,0.0
EX_ppi[fe],0.0,0.0,0.0,0.0
EX_pro_L[fe],43.05222334655024,43.05222334655024,43.05222334655024,4.986495954670509
EX_ptrc[fe],0.0,0.0,0.0,0.0
EX_pullulan1200[fe],0.0,0.0,0.0,0.0
EX_pydam[fe],0.00253741605152056,0.002042380990326,0.0014269011262415996,0.0002448014358140001
EX_pydx[fe],0.0025683668138292803,0.0025683668138292803,0.0025683668138292803,0.0025683668138292803
EX_pydxn[fe],0.0025377640171070403,0.0025377640171070403,0.0025377640171070403,0.0012698160786968
EX_q8[fe],0.0,0.0,0.0,0.0
EX_raffin[fe],0.0,0.0,0.0,0.0
EX_rhamnogalurII[fe],0.0,0.0,0.0,0.0
EX_rhamnogalurI[fe],0.0,0.0,0.0,0.0
EX_rib_D[fe],0.0,0.0,0.0,0.0
EX_ribflv[fe],0.0010211553254261998,0.0003439124034628001,0.0016679553572908,4.989932956800001e-05
EX_rmn[fe],0.0,0.0,0.0,0.0
EX_sT_antigen[fe],0.0,0.0,0.0,0.0
EX_sTn_antigen[fe],0.0,0.0,0.0,0.0
EX_salcn[fe],0.0,0.0,0.0,0.0
EX_ser_L[fe],29.9033804473388,29.9033804473388,29.9033804473388,29.9033804473388
EX_sheme[fe],0.00020386527565207814,7.001012733709498e-06,0.0007154946029340449,2.4947169817521593e-05
EX_so3[fe],0.0,0.0,0.0,0.0
EX_so4[fe],0.0,0.0,0.0,0.0
EX_spmd[fe],0.00020386527565207814,7.001012733709498e-06,0.0007154946029340449,2.4947169817521593e-05
EX_strch1[fe],19.916045399999998,0.20266889999999904,10.143232900000001,0.09517269999999911
EX_strch2[fe],0.0,0.0,0.0,0.0
EX_stys[fe],0.0,0.0,0.0,0.0
EX_succ[fe],0.0,0.0,0.0,0.0
EX_sucr[fe],161.9064173896024,136.9169968,61.41138600000001,55.4062256
EX_sulfac[fe],0.0,0.0,0.0,0.0
EX_taur[fe],0.0,0.0,0.0,0.0
EX_tchola[fe],0.0,0.0,0.0,0.0
EX_tdchola[fe],0.0,0.0,0.0,0.0
EX_thm[fe],0.00020388566421836174,7.001712904575186e-06,0.0007155661595499296,2.4949664783946446e-05
EX_thr_L[fe],20.704840193688323,20.704840193688323,20.704840193688323,20.704840193688323
EX_thymd[fe],0.0,0.0,0.0,0.0
EX_tma[fe],0.0,0.0,0.0,0.0
EX_tmao[fe],0.0,0.0,0.0,0.0
EX_tre[fe],0.0,0.0,0.0,0.0
EX_trp_L[fe],3.6438598174955845,3.6438598174955845,3.6438598174955845,3.6438598174955845
EX_tsul[fe],0.0,0.0,0.0,0.0
EX_ttdca[fe],24.16910403187856,24.16910403187856,24.16910403187856,24.16910403187856
EX_tyr_L[fe],12.51748317360096,9.3534904,12.51748317360096,3.2229504
EX_ura[fe],0.0,0.0,0.0,0.0
EX_urea[fe],0.00020386527565207814,7.001012733709498e-06,0.0007154946029340449,2.4947169817521593e-05
EX_uri[fe],0.0,0.0,0.0,0.0
EX_val_L[fe],30.22750185025048,30.22750185025048,30.22750185025048,30.22750185025048
EX_xan[fe],0.0,0.0,0.0,0.0
EX_xyl_D[fe],0.0,0.0,0.0,0.0
EX_xylan[fe],0.0,0.0,0.0,0.0
EX_xyluglc[fe],0.0,0.0,0.0,0.0
EX_zn2[fe],0.00543959473704031,0.0035525707112124827,0.0023761631825122143,0.00119598696116896
