Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_h[fe],296.1431917321205,240.7302389765186,181.45645219030018,63.203860399999996
EX_ha[fe],0.0,0.0,0.0,0.0
EX_ha_deg1[fe],1.0,1.0,1.0,1.0
EX_ha_pre1[fe],1.0,1.0,1.0,1.0
EX_hdca[fe],77.53854025950503,69.64184145132515,56.10038697057283,44.51499053143945
EX_hexs[fe],0.0,0.0,0.0,0.0
EX_hg2[fe],0.0,0.0,0.0,0.0
EX_his_L[fe],1.1298158778832565,0.642048185911527,0.46268094962426787,0.0006385959852792666
EX_homogal[fe],0.0,0.0,0.0,0.0
EX_hspg[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_10[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_11[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_12[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_13[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_14[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_15[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_1[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_2[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_3[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_4[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_5[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_6[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_7[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_8[fe],1.0,1.0,1.0,1.0
EX_hspg_degr_9[fe],1.0,1.0,1.0,1.0
EX_hspg_rest[fe],0.0,0.0,0.0,0.0
EX_hxan[fe],0.0,0.0,0.0,0.0
EX_idour[fe],3.0,3.0,3.0,3.0
EX_ile_L[fe],0.021527751749982116,0.000739292474637665,0.07555475125005273,0.0026343695706820824
EX_ind3ac[fe],0.0,0.0,0.0,0.0
EX_indole[fe],72.77621569369958,22.234900459867703,8.114391272595768,34.40211656844061
EX_ins[fe],77.10657067686532,72.25190772946324,37.4726164504381,26.467669670213706
EX_inulin[fe],0.0,0.0,0.0,0.0
EX_isetac[fe],0.0,0.0,0.0,0.0
